activity_id,deal_id,activity_type,activity_date,notes
328,36,Follow-up Sent,10/23/2024 6:29,Follow-up sent with additional reference customers.
329,30,Technical Review,12/28/2024 6:48,Conducted API compatibility review with client's dev team.
330,13,Budget Confirmed,9/27/2024 21:09,Finance team confirmed funding availability for Q3 close.
331,25,POC Completed,3/31/2024 16:57,Evaluation complete; champion presented results to leadership.
332,21,Email Received,10/16/2024 5:09,Prospect asked for references from similar companies.
333,25,Onboarding Kickoff,5/29/2024 22:30,Introduced customer success manager and onboarding plan.
334,3,Stakeholder Meeting,2/19/2024 0:42,Introduced solution to new VP stakeholder added to deal.
335,22,POC Completed,12/03/2024 18:11,POC concluded successfully; client met all evaluation KPIs.
336,29,Budget Confirmed,02/08/2024 17:22,CFO approved budget allocation; deal can proceed to contract.
337,30,Competitor Mentioned,01/06/2024 23:02,Competitor HubSpot mentioned during discovery; addressed key differentiators.
338,42,Executive Briefing,01/11/2025 16:39,Presented ROI model to CFO; received favorable feedback.
339,31,Call Outbound,10/30/2024 12:20,Cold call to new stakeholder identified in org chart.
340,40,Follow-up Sent,9/26/2024 0:28,Shared meeting recap and attached updated proposal.
341,6,Legal Review,11/26/2024 19:01,Legal review completed; two clauses require negotiation.
342,44,Budget Confirmed,11/29/2024 17:38,CFO approved budget allocation; deal can proceed to contract.
343,21,Technical Review,8/31/2024 10:11,Reviewed data migration approach and timelines.
344,35,Budget Confirmed,1/14/2024 22:36,CFO approved budget allocation; deal can proceed to contract.
345,16,Call Outbound,09/02/2024 02:50,Cold call to new stakeholder identified in org chart.
346,48,Proposal Sent,02/05/2024 02:23,Proposal emailed with executive summary and ROI projections.
347,49,Call Inbound,09/03/2024 02:57,Prospect called to ask technical questions about integrations.
348,11,Pricing Discussion,9/26/2024 12:33,Pricing call to address budget gap; exploring phased rollout.
349,2,Timeline Confirmed,1/18/2024 20:40,Agreed on 90-day implementation schedule with milestones.
350,4,Stage Advanced,4/23/2024 22:23,Advanced to Negotiation following proposal acceptance.
351,28,Negotiation Call,2/26/2024 12:48,Negotiated payment terms; client requested quarterly billing.
352,27,Product Walkthrough,08/07/2024 18:49,In-depth walkthrough of analytics module with data team.
353,12,Meeting Completed,1/31/2024 16:02,Executive briefing went well; sponsor requested ROI model.
354,25,Budget Confirmed,8/28/2024 16:07,Finance team confirmed funding availability for Q3 close.
355,38,Stakeholder Meeting,2/25/2024 13:57,Stakeholder alignment session with 5 internal champions.
356,41,Pricing Discussion,04/08/2024 15:14,Walked through pricing tiers and feature bundling options.
357,43,Contract Sent,01/04/2024 15:35,MSA and DPA sent to procurement for approval.
358,19,Timeline Confirmed,9/20/2024 3:47,Both parties agreed on contract start date of first of next month.
359,5,Meeting Completed,6/20/2024 13:13,Finished 90-minute onsite visit; very engaged team.
360,20,POC Completed,09/05/2024 03:20,Evaluation complete; champion presented results to leadership.
361,17,Onboarding Kickoff,6/26/2024 10:01,Onboarding kickoff held; project milestones and owners confirmed.
362,25,Demo Conducted,11/27/2024 9:39,Custom demo for data analytics team; deep dive into API capabilities.
363,16,Call Inbound,5/28/2024 2:34,Prospect called to confirm vendor shortlist status.
364,37,Negotiation Call,4/24/2024 21:43,Price negotiation call; exploring volume-based pricing.
365,43,Email Sent,06/02/2024 17:10,Shared case study relevant to client's industry.
366,37,Email Sent,12/01/2024 23:00,Sent follow-up email with product overview deck attached.
367,39,Competitor Mentioned,10/16/2024 9:30,Competitor pricing shared by prospect; repositioned value story.
368,19,Champion Identified,10/28/2024 6:25,Director of IT confirmed as primary advocate for the solution.
369,23,Security Review,3/26/2024 1:16,Completed vendor security assessment; no critical findings.
370,17,Security Review,9/20/2024 5:13,Completed vendor security assessment; no critical findings.
371,7,Legal Review,12/16/2024 20:19,Legal team reviewing DPA and data residency clauses.
372,29,Contract Signed,1/13/2024 22:58,All parties signed. Deal marked closed-won in CRM.
373,47,Negotiation Call,2/21/2024 0:50,Discussed discount structure; agreed on 12% off list price.
374,19,Competitor Mentioned,05/06/2024 21:14,Competitor pricing shared by prospect; repositioned value story.
375,13,Meeting Completed,2/21/2024 7:49,Executive briefing went well; sponsor requested ROI model.
376,24,Timeline Confirmed,7/25/2024 3:54,Both parties agreed on contract start date of first of next month.
377,18,Competitor Mentioned,11/18/2024 12:33,Competitor HubSpot mentioned during discovery; addressed key differentiators.
378,31,Contract Sent,01/10/2025 16:40,Contract sent with net-30 payment terms as agreed.
379,22,Deal Lost,11/08/2024 07:59,Deal lost to competitor; client cited lower pricing as key factor.
380,5,Pricing Discussion,2/24/2024 15:57,Discussed multi-year discount scenarios with finance contact.
381,44,Budget Confirmed,10/08/2024 06:11,Procurement confirmed budget line item exists for this project.
382,36,Budget Confirmed,5/22/2024 1:16,Champion confirmed budget is approved for this fiscal year.
383,26,Stage Advanced,01/06/2024 09:43,Advanced to Negotiation following proposal acceptance.
384,8,POC Initiated,6/25/2024 14:54,Started 30-day trial with defined evaluation benchmarks.
385,48,Reference Call,9/18/2024 2:40,Scheduled reference check with two existing enterprise clients.
386,25,POC Completed,11/15/2024 9:29,POC results reviewed in debrief; moving to commercial stage.
387,44,Call Inbound,3/31/2024 19:22,Inbound call from procurement requesting updated SOW.
388,40,Email Sent,12/09/2024 09:39,Forwarded updated SLA documentation as requested.
389,40,Follow-up Sent,3/26/2024 23:17,Sent follow-up summarizing key meeting takeaways.
390,30,Legal Review,12/19/2024 4:06,Legal review completed; two clauses require negotiation.
391,27,Legal Review,2/15/2024 7:29,Received redlines from client's legal team on MSA.
392,3,Email Received,4/28/2024 4:53,Prospect asked for references from similar companies.
393,7,Call Inbound,04/01/2024 04:29,Prospect called to confirm vendor shortlist status.
394,25,Meeting Scheduled,6/25/2024 4:15,Set up technical deep-dive with IT and security teams.
395,48,Reference Call,9/27/2024 11:42,Reference call completed; prospect ready to move to contract.
396,38,Executive Briefing,10/15/2024 6:26,Presented ROI model to CFO; received favorable feedback.
397,27,Timeline Confirmed,09/11/2024 08:18,Client confirmed go-live target is end of Q3.
398,32,Champion Identified,8/27/2024 2:17,Champion confirmed; actively promoting internally to exec team.
399,3,Contract Sent,9/25/2024 1:52,Contract sent with net-30 payment terms as agreed.
400,29,Demo Conducted,6/21/2024 16:51,Demo focused on automation workflows; impressed by ease of use.
401,24,Budget Confirmed,02/08/2024 14:03,Budget confirmed at $120K annual; fits within proposed pricing.
402,42,POC Initiated,5/19/2024 7:04,Proof of concept officially kicked off with IT team.
403,18,Technical Review,3/14/2024 17:08,Security and IT team reviewed architecture documentation.
404,30,Budget Confirmed,02/05/2024 14:27,Finance team confirmed funding availability for Q3 close.
405,41,Legal Review,8/19/2024 21:48,Legal team reviewing DPA and data residency clauses.
406,22,Email Received,04/04/2024 14:13,Client replied requesting revised pricing structure.
407,37,Stage Advanced,3/20/2024 16:39,Deal advanced from Discovery to Qualification stage.
408,49,Champion Identified,08/03/2024 05:35,Director of IT confirmed as primary advocate for the solution.
409,14,POC Completed,11/11/2024 18:12,30-day trial ended; feedback overwhelmingly positive.
410,50,Follow-up Sent,2/27/2024 7:18,Follow-up sent with additional reference customers.
411,18,Email Sent,11/29/2024 8:55,Emailed pricing proposal to procurement contact.
412,35,Meeting Scheduled,04/07/2024 08:15,Booked executive sponsor meeting for end of quarter.
413,43,Call Inbound,12/02/2024 11:52,Prospect called to ask technical questions about integrations.
414,1,Meeting Scheduled,5/19/2024 3:03,Booked executive sponsor meeting for end of quarter.
415,21,POC Completed,01/07/2024 03:05,30-day trial ended; feedback overwhelmingly positive.
416,4,Contract Sent,2/19/2024 5:28,MSA and DPA sent to procurement for approval.
417,8,Product Walkthrough,10/16/2024 14:06,Walked through core features; prospect highlighted dashboard as priority.
418,29,Stakeholder Meeting,10/29/2024 3:38,Internal champion organized cross-functional review meeting.
419,38,Product Walkthrough,02/12/2024 08:27,Showed new Q3 features during scheduled product update call.
420,15,Product Walkthrough,01/02/2025 03:54,Walkthrough tailored to use cases outlined in RFP.
421,47,Email Received,10/31/2024 4:12,Client confirmed attendance for the executive briefing.
422,30,Contract Signed,09/06/2024 20:22,Contract countersigned and returned. Deal officially closed.
423,31,Email Received,11/25/2024 1:23,Prospect asked for references from similar companies.
424,44,Executive Briefing,02/11/2024 22:16,Briefed CEO and COO on partnership roadmap.
425,29,Onboarding Kickoff,1/29/2024 12:58,Kickoff call with client's implementation team completed.
426,39,Follow-up Sent,2/27/2024 14:34,Sent follow-up summarizing key meeting takeaways.
427,18,Meeting Scheduled,8/30/2024 11:03,Confirmed QBR with existing account team.
428,46,POC Initiated,05/06/2024 06:56,POC launched with two internal user groups.
429,34,Security Review,4/24/2024 12:38,Reviewed SOC 2 Type II report with client's security officer.
430,39,Product Walkthrough,6/16/2024 1:44,Walked through core features; prospect highlighted dashboard as priority.
431,45,Stage Advanced,2/14/2024 10:24,Opportunity moved to Closed stage pending final signature.
432,14,Deal Lost,6/16/2024 0:32,Deal marked lost; client selected incumbent vendor.
433,15,Timeline Confirmed,06/09/2024 17:01,Agreed on 90-day implementation schedule with milestones.
434,30,Champion Identified,06/03/2024 20:26,Champion confirmed; actively promoting internally to exec team.
435,7,Deal Lost,05/01/2024 09:09,Deal marked lost; client selected incumbent vendor.
436,43,Follow-up Sent,04/08/2024 23:44,Sent check-in message after two weeks of no response.
437,44,Meeting Scheduled,12/24/2024 10:50,Arranged product demo for expanded stakeholder group.
438,6,Call Outbound,11/19/2024 0:40,Called to confirm next steps after proposal submission.
439,28,Call Outbound,02/07/2024 12:02,Cold call to new stakeholder identified in org chart.
440,9,Stage Advanced,08/04/2024 01:45,Deal advanced from Discovery to Qualification stage.
441,36,POC Completed,08/06/2024 03:16,POC results reviewed in debrief; moving to commercial stage.
442,8,Reference Call,06/08/2024 13:00,Scheduled reference check with two existing enterprise clients.
443,43,Budget Confirmed,12/31/2024 11:57,Procurement confirmed budget line item exists for this project.
444,47,Budget Confirmed,1/20/2024 23:30,Budget confirmed at $120K annual; fits within proposed pricing.
445,20,Security Review,5/16/2024 13:34,Security questionnaire submitted and reviewed by client's InfoSec.
446,33,POC Completed,3/23/2024 14:52,30-day trial ended; feedback overwhelmingly positive.
447,31,Reference Call,3/28/2024 2:06,Connected prospect with reference customer in similar industry.
448,36,Negotiation Call,5/22/2024 17:55,Discussed discount structure; agreed on 12% off list price.
449,18,Deal Won,08/10/2024 22:59,Closed-won after 4-month sales cycle. Onboarding begins next week.
450,28,Stage Advanced,11/24/2024 5:25,Opportunity moved to Closed stage pending final signature.
451,40,Deal Won,8/26/2024 6:55,Won deal; client committed to 3-year enterprise agreement.
452,39,Email Sent,12/26/2024 19:41,Shared case study relevant to client's industry.
453,12,Email Sent,4/16/2024 3:03,Shared case study relevant to client's industry.
454,22,Competitor Mentioned,5/16/2024 7:46,Prospect mentioned they are also evaluating Salesforce.
455,10,Meeting Completed,08/07/2024 22:29,Completed retrospective meeting post-pilot evaluation.
456,10,Call Outbound,10/14/2024 18:19,Called to confirm next steps after proposal submission.
457,48,Call Outbound,7/25/2024 0:27,Reached out to re-engage after two weeks of silence.
458,27,Technical Review,6/25/2024 4:17,Conducted API compatibility review with client's dev team.
459,24,Meeting Completed,05/01/2024 00:40,Finished 90-minute onsite visit; very engaged team.
460,37,Deal Won,8/19/2024 13:12,Deal officially won! Contract signed and revenue booked.
461,4,Timeline Confirmed,03/01/2024 10:06,Timeline locked in; implementation must start within 30 days.
462,40,Deal Won,1/20/2024 7:49,Deal officially won! Contract signed and revenue booked.
463,29,Contract Sent,9/14/2024 1:42,MSA and DPA sent to procurement for approval.
464,39,Stakeholder Meeting,6/20/2024 16:09,Stakeholder meeting to confirm priorities and success metrics.
465,14,Contract Sent,10/20/2024 4:34,Sent final contract version after all redlines resolved.
466,23,Call Inbound,6/15/2024 23:05,Prospect called to ask technical questions about integrations.
467,44,Contract Signed,9/20/2024 11:57,All parties signed. Deal marked closed-won in CRM.
468,34,Stakeholder Meeting,9/16/2024 2:07,Internal champion organized cross-functional review meeting.
469,15,Email Received,06/02/2024 12:07,Client confirmed attendance for the executive briefing.
470,1,Email Received,3/20/2024 9:21,Received RFP document from procurement team.
471,50,Demo Conducted,2/23/2024 7:07,Delivered tailored demo addressing industry-specific use cases.
472,21,Contract Signed,2/16/2024 14:20,Contract countersigned and returned. Deal officially closed.
473,48,Stakeholder Meeting,6/16/2024 5:59,Stakeholder alignment session with 5 internal champions.
474,25,Meeting Scheduled,7/25/2024 20:01,Booked executive sponsor meeting for end of quarter.
475,36,Product Walkthrough,11/19/2024 15:25,Product walkthrough focused on compliance and audit capabilities.
476,26,Call Outbound,11/30/2024 16:13,Called to confirm next steps after proposal submission.
477,2,Executive Briefing,6/27/2024 13:13,Executive briefing with C-suite; strong strategic alignment noted.
478,21,Budget Confirmed,08/11/2024 14:27,Procurement confirmed budget line item exists for this project.
479,26,POC Completed,10/02/2024 13:00,Evaluation complete; champion presented results to leadership.
480,8,Contract Signed,06/06/2024 07:10,Contract countersigned and returned. Deal officially closed.
481,11,Follow-up Sent,11/07/2024 04:51,Follow-up sent with additional reference customers.
482,45,Pricing Discussion,12/23/2024 4:52,Pricing call to address budget gap; exploring phased rollout.
483,28,Call Outbound,11/23/2024 23:09,Called to confirm next steps after proposal submission.
484,28,Proposal Sent,8/16/2024 16:40,Proposal emailed with executive summary and ROI projections.
485,6,Product Walkthrough,06/02/2024 16:48,Product walkthrough focused on compliance and audit capabilities.
486,22,Deal Lost,3/27/2024 1:12,Lost deal after final evaluation; integration complexity cited.
487,11,Deal Won,1/30/2024 15:54,Won deal; client committed to 3-year enterprise agreement.
488,8,Legal Review,7/25/2024 1:35,Final legal review underway; expected resolution within 5 days.
489,50,Demo Conducted,5/15/2024 16:24,Delivered tailored demo addressing industry-specific use cases.
490,42,Deal Lost,11/12/2024 12:41,Opportunity closed-lost; prospect chose to delay purchase.
491,7,Proposal Sent,2/26/2024 20:57,Shared commercial proposal following scope confirmation.
492,12,Demo Conducted,8/21/2024 22:45,Demo focused on automation workflows; impressed by ease of use.
493,49,Deal Won,09/11/2024 13:47,Deal officially won! Contract signed and revenue booked.
494,50,Meeting Completed,8/31/2024 20:54,Completed retrospective meeting post-pilot evaluation.
495,49,Pricing Discussion,08/06/2024 22:23,Budget holder joined call to validate pricing fit.
496,44,Pricing Discussion,12/24/2024 21:44,Budget holder joined call to validate pricing fit.
497,41,Legal Review,8/30/2024 12:57,Legal review completed; two clauses require negotiation.
498,41,Budget Confirmed,05/02/2024 18:37,Finance team confirmed funding availability for Q3 close.
499,5,Pricing Discussion,07/01/2024 02:39,Walked through pricing tiers and feature bundling options.
500,20,Legal Review,11/05/2024 06:19,Legal review completed; two clauses require negotiation.
